_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
1,ABERDEEN,2,"VIA FIRENZE, 48",Municipio I (ex Mun I),Albergo,10,22,5,,,"",69
2,ABITART HOTEL,4,"VIA PELLEGRINO MATTEUCCI, 10/30",Municipio VIII (ex Mun XI),Albergo,,53,6,6,,"",148
3,ACCADEMIA,3,"PIAZZA DELL'ACCADEMIA DI S. LUCA, 75",Municipio I (ex Mun I),Albergo,13,34,23,3,1,"",167
4,ADLER,2,"VIA MODENA, 5",Municipio I (ex Mun I),Albergo,1,1,3,3,,"",24
5,ADRIANO,3,"VIA DI PALLACORDA, 2",Municipio I (ex Mun I),Albergo,6,51,9,14,,"",191
6,ADRIATIC,2,"VIA GIOVANNI VITELLESCHI, 25",Municipio I (ex Mun I),Albergo,19,22,,,,"",63
7,AL CASALETTO DI SETTECAMINI,2,"VIA DI SETTECAMINI, 3",Municipio IV (ex Mun V),Albergo,13,4,,,,"",21
8,AL SANPIETRINO,2,"VIA GIOVANNI BETTOLO, 43",Municipio I (ex Mun XVII),Albergo,,5,3,,,"",16
9,AL VIMINALE HILL INN & HOTEL,2,"VIA DEL VIMINALE, 38",Municipio I (ex Mun I),Albergo,,9,,,,"",18
10,ALBERGO ABRUZZI,3,"PIAZZA DELLA ROTONDA, 69",Municipio I (ex Mun I),Albergo,3,10,6,1,,"",45
11,ALBERGO DEL SENATO,3,"PIAZZA DELLA ROTONDA, 73",Municipio I (ex Mun I),Albergo,4,34,12,6,,"",132
12,ALDOBRANDESCHI,4,"VIA DEGLI ALDOBRANDESCHI, 295",Municipio XII (ex Mun XVI),Albergo,,80,,2,2,"",178
13,ALDROVANDI PALACE,Lusso,"VIA ULISSE ALDROVANDI, 15",Municipio I (ex Mun I),Albergo,,115,4,,,"",242
14,ALESSANDRINO,3,"VIA CLEMENTE ALESSANDRINO, 9",Municipio XIII (ex Mun XVIII),Albergo,3,18,1,,4,"",62
15,ALEXANDRA,3,"VIA VITTORIO VENETO, 18",Municipio I (ex Mun I),Albergo,15,30,11,,,"",108
16,ALEXIS,1,"VIA GAETA, 29",Municipio I (ex Mun I),Albergo,5,7,,,,"",19
17,ALIMANDI,3,"VIA TUNISI, 8",Municipio I (ex Mun XVII),Albergo,3,24,5,3,,"",78
18,ALIUS HOTEL,1,"VIA NAZIONALE, 243",Municipio I (ex Mun I),Albergo,1,9,,,,"",19
19,ALL TIME RELAIS & SPORT HOTEL,4,"VIA DOMENICO JACHINO, 181",Municipio IX (ex Mun XII),Albergo,7,61,,,,"",129
20,ALL WAYS GARDEN HOTEL & LEISURE,4,"VIA DI CASTEL DI LEVA, 108",Municipio IX (ex Mun XII),Albergo,,38,,,,"",76
21,ALLO STATUTO,1,"VIA DELLO STATUTO, 32",Municipio I (ex Mun I),Albergo,3,1,,,,"",5
22,ALPI,4,"VIA CASTELFIDARDO, 84",Municipio I (ex Mun I),Albergo,4,37,7,,,"",99
23,ALTA QUOTA - PALACAVICCHI,3,"VIA DI CIAMPINO, 70",Municipio VII (ex Mun X),Albergo,,136,,,,"",272
24,ALTAVILLA,2,"VIA PRINCIPE AMEDEO, 9/B",Municipio I (ex Mun I),Albergo,6,8,1,,,"",25
25,AMADEUS,3,"VIA GIOBERTI, 72",Municipio I (ex Mun I),Albergo,,14,7,3,,"",61
26,AMALFI,3,"VIA MERULANA, 278",Municipio I (ex Mun I),Albergo,6,12,4,,,"",42
27,AMBASCIATORI PALACE,Lusso,"VIA VITTORIO VENETO, 62",Municipio I (ex Mun I),Albergo,5,105,49,1,,"",366
28,AMBRA PALACE HOTEL,4,"VIA PRINCIPE AMEDEO, 257",Municipio I (ex Mun I),Albergo,12,66,,,,"",144
29,AMERICAN PALACE EUR,4,"VIA LAURENTINA, 552",Municipio IX (ex Mun XII),Albergo,79,69,12,,,"",253
30,ANAHI,2,"VIA DELLA PENNA, 65",Municipio I (ex Mun I),Albergo,9,8,,,,"",25
31,ANDREOTTI,3,"VIA CASTELFIDARDO, 55",Municipio I (ex Mun I),Albergo,10,38,5,,,"",101
32,ANFITEATRO FLAVIO,3,"VIA DEI SERPENTI, 130",Municipio I (ex Mun I),Albergo,5,5,1,,,"",18
33,ANGEL,2,"VIA MARIANNA DIONIGI, 43",Municipio I (ex Mun I),Albergo,1,7,3,,,"",24
34,ANGLO AMERICANO,4,"VIA DELLE QUATTRO FONTANE, 12",Municipio I (ex Mun I),Albergo,9,62,36,6,1,"",270
35,ANIENE,3,"VIALE TIRRENO, 74",Municipio III (ex Mun IV),Albergo,9,24,,,,"",57
36,ANTICA LOCANDA,2,"VIA DEL BOSCHETTO, 81",Municipio I (ex Mun I),Albergo,1,9,2,,,"",25
37,ANTICA LOCANDA PALMIERI,3,"VIA DI GROTTA PERFETTA, 551",Municipio VIII (ex Mun XI),Albergo,17,8,,,,"",33
38,ANTICO ACQUEDOTTO,3,"VIA DI VILLA SERVENTI, 9abc",Municipio V (ex Mun VI),Albergo,25,7,,,,"",39
39,ANTICO CASALE,2,"VIA DELLA PISANA, 952",Municipio XII (ex Mun XVI),Albergo,14,4,,,,"",22
40,ANTICO PALAZZO ROSPIGLIOSI,4,"VIA LIBERIANA, 21",Municipio I (ex Mun I),Albergo,6,21,11,1,,"",85
41,APHRODITE,3,"VIA MARSALA, 90",Municipio I (ex Mun I),Albergo,16,38,7,1,,"",117
42,APOLLO,3,"VIA DEI SERPENTI, 109",Municipio I (ex Mun I),Albergo,5,13,6,,,"",49
43,APPIA PARK HOTEL,4,"VIA APPIA NUOVA, 934",Municipio VII (ex Mun X),Albergo,,60,,,,"",120
44,APPIA PARK HOTEL DIPENDENZA,4,"VIA APPIA NUOVA, 936",Municipio VII (ex Mun X),Albergo,12,1,,,,"",14
45,APPIA PARK HOTEL 2,3,"VIA APPIA NUOVA, 932",Municipio VII (ex Mun X),Albergo,1,10,6,,,"",39
46,AQUARIUM,2,"PIAZZA MANFREDO FANTI, 10",Municipio I (ex Mun I),Albergo,,19,4,,,"",50
47,ARA PACIS,3,"VIA VITTORIA COLONNA, 11",Municipio I (ex Mun I),Albergo,15,12,8,2,,"",71
48,ARCADIA,3,"VIA SAN BASILE, 75",Municipio VII (ex Mun X),Albergo,,43,7,,,"",107
49,ARCANGELO,3,"VIA BOEZIO, 15",Municipio I (ex Mun XVII),Albergo,14,19,,,,"",52
50,ARCHIMEDE,4,"VIA DEI MILLE, 19",Municipio I (ex Mun I),Albergo,83,65,2,,,"",219
51,ARCO DI TRAVERTINO,2,"VIA VALGIA SILVILLA, 71",Municipio VII (ex Mun IX),Albergo,13,6,,,,"",25
52,ARDEATINA PARK HOTEL,4,"VIA VITTORE GHILIANI, 143",Municipio IX (ex Mun XII),Albergo,,98,4,,,"",208
53,ARENULA,2,"VIA DI S. MARIA DE' CALDERARI, 47",Municipio I (ex Mun I),Albergo,9,32,9,,,"",100
54,ARGENTINA,3,"VIA CAVOUR, 47",Municipio I (ex Mun I),Albergo,6,8,1,,,"",25
55,ARGENTINA RESIDENZA STYLE HOTEL,3,"VIA DI TORRE ARGENTINA, 47",Municipio I (ex Mun I),Albergo,,7,2,,,"",20
56,ARIS GARDEN HOTEL,4,"VIA ARISTOFANE, 101",Municipio X (ex Mun XIII),Albergo,,103,,2,,"",214
57,ARISTON,4,"VIA FILIPPO TURATI, 16",Municipio I (ex Mun I),Albergo,10,60,11,1,,"",167
58,ARISTOTELE,2,"VIA PALESTRO, 87",Municipio I (ex Mun I),Albergo,7,3,1,,,"",16
59,ARS HOTEL,4,"VIA MONTE ALTISSIMO, 20-24",Municipio III (ex Mun IV),Albergo,3,25,,,,"",53
60,ARS HOTEL DEPENDANCE,4,"VIALE CARNARO, 3",Municipio III (ex Mun IV),Albergo,2,9,,,,"",20
61,ART DECO',4,"VIA PALESTRO, 19-21",Municipio I (ex Mun I),Albergo,14,33,17,4,,"",147
62,ART HOTEL NOBA,3,"VIA NOMENTANA, 543",Municipio III (ex Mun IV),Albergo,24,36,2,,,"",102
63,ARTEMIDE,4,"VIA NAZIONALE, 22",Municipio I (ex Mun I),Albergo,4,67,20,,,"",198
64,ARTIS,4,"VIA ROBERTO FANCELLI, 3",Municipio VI (ex Mun VIII),Albergo,,70,,,,"",140
65,ARTORIUS,2,"VIA DEL BOSCHETTO, 13",Municipio I (ex Mun I),Albergo,2,6,2,,,"",20
66,ASCOT,1,"VIA MONTEBELLO, 22",Municipio I (ex Mun I),Albergo,5,6,7,3,,"",50
67,ASSISI,3,"VIA DEI MILLE, 27/A",Municipio I (ex Mun I),Albergo,4,11,3,,,"",35
68,ASTORIA GARDEN,3,"VIA VITTORIO BACHELET, 8/10",Municipio I (ex Mun I),Albergo,5,22,4,2,,"",69
69,ASTRID,3,"LARGO ANTONIO SARTI, 4",Municipio II (ex Mun II),Albergo,20,24,7,,,"",89
70,ATENEO GARDEN PALACE,4,"PIAZZA DEI SICULI, 9/11",Municipio II (ex Mun III),Albergo,10,39,2,3,1,"",111
71,ATHENA,2,"VIA ERCOLE PASQUALI, 3",Municipio II (ex Mun III),Albergo,4,21,2,,,"",52
72,ATLANTE GARDEN,4,"VIA CRESCENZIO, 78",Municipio I (ex Mun XVII),Albergo,9,36,9,,,"",108
73,ATLANTE STAR,4,"VIA GIOVANNI VITELLESCHI, 34",Municipio I (ex Mun XVII),Albergo,25,26,8,,,"",101
74,ATLANTICO,4,"VIA CAVOUR, 23",Municipio I (ex Mun I),Albergo,14,39,15,,,"",137
75,AUDITORIUM DI MECENATE,1,"VIA DELLO STATUTO, 44",Municipio I (ex Mun I),Albergo,1,8,1,,,"",20
76,AUGUSTA LUCILLA PALACE HOTEL,4,"VIA D'AZEGLIO, 24",Municipio I (ex Mun I),Albergo,51,55,,,,"",162
77,AUGUSTEA,3,"VIA NAZIONALE, 251",Municipio I (ex Mun I),Albergo,2,5,7,5,1,"",58
78,AURELIANO,4,"VIA AURELIA, 619",Municipio XIII (ex Mun XVIII),Albergo,11,47,,,,"",105
79,AURELIUS,3,"VIA AURELIA, 458",Municipio XIII (ex Mun XVIII),Albergo,7,12,3,1,,"",44
80,AURORA GARDEN,3,"VIA EMANUELE CIACERI, 12",Municipio IV (ex Mun V),Albergo,22,21,,,,"",64
81,AVENTINO,3,"VIA DI S. DOMENICO, 10",Municipio I (ex Mun I),Albergo,,11,9,1,,"",53
82,AZZURRA,1,"VIA DEL BOCCACCIO, 25",Municipio I (ex Mun I),Albergo,2,2,3,1,,"",19
83,BABUINO 181,2,"VIA DEL BABUINO, 181",Municipio I (ex Mun I),Albergo,,6,4,,,"",24
84,BABUINO 35 DIPENDENZA BABUINO181,2,"VIA DEL BABUINO, 35",Municipio I (ex Mun I),Albergo,,6,3,1,,"",25
85,BALTIC,2,"VIA VENTI SETTEMBRE, 89",Municipio I (ex Mun I),Albergo,2,10,1,,,"",25
86,BARBERINI,4,"VIA RASELLA, 3-5",Municipio I (ex Mun I),Albergo,5,26,,4,,"",73
87,BARCELO ARAN BLU HOTEL,4,"LUNGOMARE DUCA DEGLI ABRUZZI, 72",Municipio X (ex Mun XIII),Albergo,15,52,,,,"",119
88,BARCELO' ARAN MANTEGNA HOTEL,4,"VIA ANDREA MANTEGNA, 130",Municipio VIII (ex Mun XI),Albergo,1,267,55,,,"",700
89,BARCELO' ARAN PARK HOTEL,4,"VIA RICCARDO FORSTER, 24",Municipio IX (ex Mun XII),Albergo,,201,,,,"",402
90,BAROCCO HOTEL,4,"VIA DELLA PURIFICAZIONE, 4-7",Municipio I (ex Mun I),Albergo,7,23,3,4,,"",78
91,BARRETT,3,"VIA DI TORRE ARGENTINA, 47",Municipio I (ex Mun I),Albergo,,11,9,,,"",49
92,BEAUTIFUL,2,"VIA MILAZZO, 8",Municipio I (ex Mun I),Albergo,7,5,1,,,"",20
93,BEAUTIFUL 2,1,"VIA MILAZZO, 14",Municipio I (ex Mun I),Albergo,3,5,4,,,"",25
94,BEAUTY,1,"VIA NAPOLEONE III, 35",Municipio I (ex Mun I),Albergo,3,5,,,,"",13
95,BED IN ROMA,1,"VIA DEI MILLE, 64",Municipio I (ex Mun I),Albergo,3,4,1,,,"",14
96,BEETHOVEN,3,"VIA DEL FORTE BRASCHI, 2",Municipio XIV (ex Mun XIX),Albergo,6,23,23,9,,"",157
97,BEL POGGIO,2,"VIA DI SETTEBAGNI, 733",Municipio III (ex Mun IV),Albergo,1,12,,,,"",25
98,BELA MOTEL,3,"VIA CASSIA, 1801",Municipio XV (ex Mun XX),Albergo,,43,,,,"",86
99,BELDES HOTEL,3,"VIA DEGLI SCIPIONI, 239",Municipio I (ex Mun I),Albergo,,8,1,,,"",19
100,BELLA CENCI A,2,"VIA DEL BOSCHETTO DELLA BELLA CENCI, 32",Municipio IX (ex Mun XII),Albergo,6,6,2,,,"",24
101,BELLA CENCI B,2,"VIA DEL BOSCHETTO DELLA BELLA CENCI, 34",Municipio IX (ex Mun XII),Albergo,,9,2,,,"",24
102,BELLAVISTA,3,"PIAZZALE MAGELLANO, 16",Municipio X (ex Mun XIII),Albergo,2,11,,,,"",24
103,BELLAVISTA DIPENDENZA,3,"PIAZZALE MAGELLANO, 15",Municipio X (ex Mun XIII),Albergo,5,6,,,,"",17
104,BELVEDERE,3,"PIAZZA DEI RAVENNATI, 4",Municipio X (ex Mun XIII),Albergo,33,21,1,,,"",78
105,BENEDETTO,3,"VIA ALBERICO DA ROSATE, 7",Municipio XIII (ex Mun XVIII),Albergo,7,16,,,,"",39
106,BENJAMIN,1,"VIA BOEZIO, 31",Municipio I (ex Mun XVII),Albergo,6,9,,,,"",24
107,BERG LUXURY HOTEL,4,"VIA AURORA, 29-31",Municipio I (ex Mun I),Albergo,3,26,2,,,"",61
108,BERGAMO,2,"VIA GIOBERTI, 30",Municipio I (ex Mun I),Albergo,3,11,,,,"",25
109,BERNINI BRISTOL,Lusso,"PIAZZA BARBERINI, 23",Municipio I (ex Mun I),Albergo,6,40,71,10,,"",339
110,BEST ROMA,4,"VIA DI PORTA MAGGIORE, 51",Municipio I (ex Mun I),Albergo,12,13,2,,,"",44
111,BEVERLY HILLS,4,"LARGO BENEDETTO MARCELLO, 220",Municipio II (ex Mun II),Albergo,18,160,4,1,,"",354
112,BIXIO,1,"VIA BIXIO, 46",Municipio I (ex Mun I),Albergo,,11,1,,,"",25
113,BLACK HOTEL,4,"VIA RAFFAELLO SARDIELLO, 18",Municipio XIII (ex Mun XVIII),Albergo,,53,2,,,"",112
114,BLED,3,"VIA DI S. CROCE IN GERUSALEMME, 40",Municipio I (ex Mun I),Albergo,7,19,11,,,"",78
115,BLED DIPENDENZA,3,"VIA DI S. CROCE IN GERUSALEMME, 42",Municipio I (ex Mun I),Albergo,,8,2,,,"",22
116,BLU HOTEL ROMA,4,"LARGO DOMENICO DE DOMINICIS, 3",Municipio IV (ex Mun V),Albergo,27,79,5,,,"",200
117,BOCCACCIO,1,"VIA DEL BOCCACCIO, 25",Municipio I (ex Mun I),Albergo,2,4,2,,,"",16
118,BOLIVAR,4,"VIA DELLA CORDONATA, 6",Municipio I (ex Mun I),Albergo,1,14,15,,,"",74
119,BOLOGNESE,2,"VIA PALESTRO, 15",Municipio I (ex Mun I),Albergo,5,7,2,,,"",25
120,BORROMEO,3,"VIA CAVOUR, 117",Municipio I (ex Mun I),Albergo,6,16,7,,1,"",64
121,BOSCOLO ALEPH ROMA,5,"VIA DI S. BASILIO, 15",Municipio I (ex Mun I),Albergo,6,89,,,,"",184
122,BOSCOLO EXEDRA ROMA,5,"PIAZZA DELLA REPUBBLICA, 48/49",Municipio I (ex Mun I),Albergo,10,213,18,,,"",490
123,BOUTIQUE COLLECTION,3,"VIA GREGORIANA, 56",Municipio I (ex Mun I),Albergo,7,9,,,,"",25
124,BOUTIQUE HOTEL TREVI,4,"VIA DELLE MURATTE, 92",Municipio I (ex Mun I),Albergo,5,10,13,5,,"",84
125,BRAMANTE,2,"VICOLO DELLE PALLINE, 25",Municipio I (ex Mun I),Albergo,16,8,4,3,1,"",45
126,BRASILE,3,"VIA PALESTRO, 13",Municipio I (ex Mun I),Albergo,16,36,4,,,"",100
127,BRITANNIA,4,"VIA NAPOLI, 64",Municipio I (ex Mun I),Albergo,4,25,4,,,"",66
128,BRUNA,2,"VIA MARGHERA, 13",Municipio I (ex Mun I),Albergo,4,13,1,,,"",33
129,BRUNELLA,2,"VIA ANTONIO PACINOTTI, 8",Municipio XI (ex Mun XV),Albergo,7,9,,,,"",25
130,BUENOS AIRES,3,"VIA CLITUNNO, 9",Municipio II (ex Mun II),Albergo,12,38,3,,,"",97
131,B4 HOTELS BORROMINI,4,"VIA LISBONA, 7",Municipio II (ex Mun II),Albergo,18,66,,,,"",150
132,CALIFORNIA,3,"VIA PRINCIPE AMEDEO, 39/47",Municipio I (ex Mun I),Albergo,6,22,14,2,,"",100
133,CAMBRIDGE,3,"VIA PALESTRO, 87",Municipio I (ex Mun I),Albergo,10,29,6,,,"",86
134,CAMELIA,3,"VIA GOITO, 36",Municipio I (ex Mun I),Albergo,10,27,3,,,"",73
135,CAMPO DE' FIORI,4,"VIA DEL BISCIONE, 6",Municipio I (ex Mun I),Albergo,1,5,16,,,"",61
136,CANADA,3,"VIA VICENZA, 58",Municipio I (ex Mun I),Albergo,,56,14,3,,"",166
137,CANOVA,3,"VIA URBANA, 9",Municipio I (ex Mun I),Albergo,2,18,,1,,"",42
138,CAPITAL INN,4,"VIA CARLO SANTARELLI, 96",Municipio VI (ex Mun VIII),Albergo,,,43,66,,"",463
139,CAPITOL,2,"VIA GIOVANNI AMENDOLA, 85",Municipio I (ex Mun I),Albergo,6,27,12,5,,"",115
140,CAPO D'AFRICA,4,"VIA CAPO D'AFRICA, 54",Municipio I (ex Mun I),Albergo,,64,,,,"",128
141,CAPRI,1,"VIA MAGENTA, 13",Municipio I (ex Mun I),Albergo,3,4,1,,,"",14
142,CAPRICE,3,"VIA LIGURIA, 38",Municipio I (ex Mun I),Albergo,20,19,,,,"",58
143,CARACCIOLO,3,"VIA CAIROLI, 86",Municipio I (ex Mun I),Albergo,3,11,,,,"",25
144,CARAVAGGIO 2,1,"VIA PALERMO, 73",Municipio I (ex Mun I),Albergo,3,4,,,,"",11
145,CARAVAGGIO-PICASSO,3,"VIA PALERMO, 73-75",Municipio I (ex Mun I),Albergo,4,9,,,,"",22
146,CARAVEL,3,"VIA CRISTOFORO COLOMBO, 124",Municipio VIII (ex Mun XI),Albergo,,104,1,,,"",211
147,CARDINAL HOTEL ST. PETER,4,"VIA LEONE DEHON, 71/91",Municipio XIII (ex Mun XVIII),Albergo,5,110,14,4,,"",283
148,CARLO ALBERTO,1,"VIA CARLO ALBERTO, 43",Municipio I (ex Mun I),Albergo,8,3,,,,"",14
149,CARLO MAGNO,3,"VIA DI SACCO PASTORE, 13",Municipio III (ex Mun IV),Albergo,15,35,,,,"",85
150,CARMEL,1,"VIA GOFFREDO MAMELI, 11",Municipio I (ex Mun I),Albergo,5,3,3,,,"",20
151,CASA TRA NOI,3,"VIA DI MONTE DEL GALLO, 113",Municipio XIII (ex Mun XVIII),Albergo,36,133,24,8,,"",406
152,CASA VALDESE,2,"VIA ALESSANDRO FARNESE, 18",Municipio I (ex Mun I),Albergo,3,17,9,4,,"",80
153,CASALE DELLA CERTOSA,3,"VIA PIETRELCINA, 6-8",Municipio IX (ex Mun XII),Albergo,13,16,6,2,,"",71
154,CASALI,2,"VIA GIOVANNI AMENDOLA, 95",Municipio I (ex Mun I),Albergo,5,3,18,2,,"",73
155,CASAROLA,1,"VIA DI TRIGORIA, 57",Municipio IX (ex Mun XII),Albergo,9,6,,,,"",21
156,CASSIA,2,"VIA CASSIA, 1736",Municipio XV (ex Mun XX),Albergo,4,8,1,,,"",23
157,CASTELFIDARDO,1,"VIA CASTELFIDARDO, 31",Municipio I (ex Mun I),Albergo,7,6,2,,,"",25
158,CASTELLO DELLA CASTELLUCCIA,4,"VIA CARLO CAVINA, s.n.c",Municipio XIV (ex Mun XIX),Albergo,2,13,8,1,,"",56
159,CASTLE,2,"SALITA DI CASTEL GIUBILEO, 196",Municipio III (ex Mun IV),Albergo,8,25,1,,,"",61
160,CATHRINE,1,"VIA VOLTURNO, 27",Municipio I (ex Mun I),Albergo,4,4,,,,"",12
161,CATONE,1,"VIA CATONE, 21",Municipio I (ex Mun XVII),Albergo,2,5,,,,"",12
162,CAVALIERI HILTON,Lusso,"VIA ALBERTO CADLOLO, 101",Municipio XIV (ex Mun XIX),Albergo,,358,,2,,"",764
163,CAVOUR,2,"VIA CAVOUR, 47",Municipio I (ex Mun I),Albergo,9,19,4,4,1,"",80
164,CECIL,3,"VIA FRANCESCO CRISPI, 55",Municipio I (ex Mun I),Albergo,11,9,14,7,,"",99
165,CELIO,3,"VIA DEI SS. QUATTRO, 35b/c",Municipio I (ex Mun I),Albergo,6,5,3,,,"",25
166,CENTER,2,"VIA GIOVANNI GIOLITTI, 413",Municipio I (ex Mun I),Albergo,3,7,,,,"",17
167,CENTER  2,3,"VIA GIOVANNI GIOLITTI, 441",Municipio I (ex Mun I),Albergo,,30,19,1,,"",121
168,CENTER  3,3,"VIA ACHILLE GRANDI, 7",Municipio I (ex Mun I),Albergo,1,15,13,,,"",70
169,CENTER 1,3,"VIA GIOVANNI GIOLITTI, 433",Municipio I (ex Mun I),Albergo,3,7,13,22,,"",144
170,CENTRAL LODGE,1,"VIA BUONARROTI, 19",Municipio I (ex Mun I),Albergo,,8,10,,,"",46
171,CENTRALE,3,"VIA LAURINA, 34",Municipio I (ex Mun I),Albergo,9,8,4,,,"",37
172,CENTRO,3,"VIA FIRENZE, 12",Municipio I (ex Mun I),Albergo,10,25,3,,,"",69
173,CERVIA,1,"VIA PALESTRO, 55",Municipio I (ex Mun I),Albergo,8,13,9,5,,"",81
174,CESARI,3,"VIA DI PIETRA, 89/A",Municipio I (ex Mun I),Albergo,6,37,5,,,"",95
175,CHAMPAGNE GARDEN,4,"VIA VITTORIO BACHELET, 3-4",Municipio I (ex Mun I),Albergo,3,16,,,,"",35
176,CHAMPAGNE PALACE,4,"VIA PRINCIPE AMEDEO, 82",Municipio I (ex Mun I),Albergo,9,64,4,1,,"",153
177,CHARTER,2,"VIA GIOBERTI, 30",Municipio I (ex Mun I),Albergo,3,11,,,,"",25
178,CHERUBINI,1,"VIA GIOVANNI AMENDOLA, 77",Municipio I (ex Mun I),Albergo,1,6,4,,,"",25
179,CHICAGO,1,"VIA GIOBERTI, 63",Municipio I (ex Mun I),Albergo,1,8,,,,"",17
180,CIAO HOTEL,1,"VIA MARSALA, 96/B",Municipio I (ex Mun I),Albergo,5,6,,,,"",17
181,CICERONE,4,"VIA CICERONE, 55/C",Municipio I (ex Mun XVII),Albergo,28,229,38,1,,"",604
182,CILICIA,3,"VIA CILICIA, 5-7",Municipio VII (ex Mun IX),Albergo,14,47,,1,,"",112
183,CINECITTA',3,"VIA EUDO GIULIOLI, 13/29",Municipio VII (ex Mun X),Albergo,19,60,11,1,,"",176
184,CINEMUSIC,4,"VIA TUSCOLANA, 128",Municipio VII (ex Mun IX),Albergo,10,18,1,,,"",49
185,CISTERNA TRASTEVERE,2,"VIA DELLA CISTERNA, 7",Municipio I (ex Mun I),Albergo,1,12,6,,,"",43
186,CITTA' DUEMILA,3,"VIA DELLA TENUTA DI TORRENOVA, 60",Municipio VI (ex Mun VIII),Albergo,,48,6,,,"",114
187,CITY NOVA,3,"VIA DEI DUE MACELLI, 97",Municipio I (ex Mun I),Albergo,7,12,12,2,,"",75
188,CLARIDGE,4,"VIALE LIEGI, 62",Municipio II (ex Mun II),Albergo,19,66,8,,,"",175
189,CLARIN,2,"VIA PALERMO, 36",Municipio I (ex Mun I),Albergo,4,8,8,,,"",44
190,CLELIA PALACE HOTEL,3,"VIA DI VERMICINO, 133",Municipio VI (ex Mun VIII),Albergo,4,63,,,,"",130
191,CLODIO,4,"VIA DI S. LUCIA, 10",Municipio I (ex Mun XVII),Albergo,32,82,,,,"",196
192,COLONNA PALACE HOTEL,4,"PIAZZA DI MONTE CITORIO, 12",Municipio I (ex Mun I),Albergo,43,45,15,1,,"",182
193,COLONNE D'ERCOLE,1,"VIA OSTIENSE, 1411",Municipio IX (ex Mun XII),Albergo,10,2,,,,"",14
194,COLONY FLAMINIO,3,"VIA MONTEROSI, 18",Municipio XV (ex Mun XX),Albergo,30,42,,,,"",114
195,COLORS,1,"VIA BOEZIO, 31",Municipio I (ex Mun XVII),Albergo,4,4,,,,"",12
196,COLOSSEUM,3,"VIA SFORZA, 8-14",Municipio I (ex Mun I),Albergo,3,35,8,,,"",97
197,COLUMBIA,3,"VIA DEL VIMINALE, 15",Municipio I (ex Mun I),Albergo,2,33,10,,,"",98
198,COLUMBUS,4,"VIA DELLA CONCILIAZIONE, 33",Municipio I (ex Mun XVII),Albergo,23,44,25,,,"",186
199,COMMODORE,4,"VIA TORINO, 1",Municipio I (ex Mun I),Albergo,20,40,,,,"",100
200,CONCORDE,2,"VIA GIOVANNI AMENDOLA, 95",Municipio I (ex Mun I),Albergo,8,17,14,,,"",84
201,CONCORDIA,3,"VIA DI CAPO LE CASE, 14",Municipio I (ex Mun I),Albergo,1,22,1,,,"",48
202,CONDOTTI,3,"VIA MARIO DE FIORI, 37",Municipio I (ex Mun I),Albergo,4,8,2,2,,"",34
203,CONSUL,3,"VIA AURELIA, 727",Municipio XIII (ex Mun XVIII),Albergo,21,13,21,4,,"",126
204,CONTE VERDE,1,"VIA CONTE VERDE, 4",Municipio I (ex Mun I),Albergo,2,4,1,,,"",13
205,CONTILIA,3,"VIA PRINCIPE AMEDEO, 79/81",Municipio I (ex Mun I),Albergo,7,37,17,,,"",132
206,CONTINENTALE,2,"VIA PALESTRO, 49",Municipio I (ex Mun I),Albergo,1,11,10,4,,"",69
207,COPPEDE',3,"VIA CHIANA, 88",Municipio II (ex Mun II),Albergo,2,8,1,1,,"",25
208,CORALLO,2,"VIA PALESTRO, 44",Municipio I (ex Mun I),Albergo,7,9,,,,"",25
209,CORONA,3,"VIA NAPOLI, 3",Municipio I (ex Mun I),Albergo,13,36,4,6,2,"",131
210,COROT,3,"VIA MARGHERA, 15-17",Municipio I (ex Mun I),Albergo,4,12,10,2,,"",66
211,CORTINA,3,"VIA NAZIONALE, 18",Municipio I (ex Mun I),Albergo,5,7,2,,,"",25
212,CORTORILLO,2,"VIA PRINCIPE AMEDEO, 77",Municipio I (ex Mun I),Albergo,3,11,,,,"",25
213,COSMOPOLITA,4,"VIA DI S. EUFEMIA, 5",Municipio I (ex Mun I),Albergo,13,36,10,7,,"",143
214,COURTYARD BY MARRIOTT - ROME CENTRAL PARK,4,"VIA GIUSEPPE MOSCATI, 7",Municipio XIV (ex Mun XIX),Albergo,,160,,,,"",320
215,CRESSY,1,"VIA VOLTURNO, 27",Municipio I (ex Mun I),Albergo,2,2,5,1,,"",25
216,CRISTINA DEPENDANCE,1,"VIA PALESTRO, 87",Municipio I (ex Mun I),Albergo,3,3,,,,"",9
217,CRISTINA'S HOTEL,1,"VIALE CASTRO PRETORIO, 64",Municipio I (ex Mun I),Albergo,4,5,,,,"",14
218,CRISTOFORO COLOMBO,4,"VIA CRISTOFORO COLOMBO, 710",Municipio IX (ex Mun XII),Albergo,16,114,71,4,,"",473
219,CROCE DI MALTA,2,"VIA BORGOGNONA, 28",Municipio I (ex Mun I),Albergo,10,14,,1,,"",42
220,CROSTI HOTEL,3,"VIA CASTELFIDARDO, 54",Municipio I (ex Mun I),Albergo,4,10,,,,"",24
