_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4576,LA PETITE MAISON PRES DU VATICAN,3,"VIALE DELLE MILIZIE, 48",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4577,LA PIAZZETTA,4,"PIAZZA POMPEI, 14",Municipio VII (ex Mun IX),Case Vacanza non IMPR,,1,,,,2,2
4578,LA PIGNA,4,"VIA MACERATA, 8",Municipio IV (ex Mun V),Case Vacanza non IMPR,,1,,,,"",5
4579,LA PORTA ROSSA DI BORGO - VATICAN SUITE,4,"VICOLO D'ORFEO, 7",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,,,,,"",1
4580,LA PRIMAVERA,4,"VIA DI PORTA FABBRICA, 49",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,1,,,2,5
4581,LA REGINELLA,4,"VIA DELLA REGINELLA, 19",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,1,1
4582,LA ROMA DEI RE,3,"VIA CONEGLIANO, 13",Municipio VII (ex Mun IX),Case Vacanza non IMPR,,1,,,,"",2
4583,LA ROTONDA ALL'AVENTINO,4,"VIA DI S. ALESSIO, 15",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4584,LA SCALA VATICANA,2,"RAMPA DELLE MURA AURELIE, 7",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,,,,,"",1
4585,LA SCALEA DI TRASTEVERE,4,"VIALE GLORIOSO, 18",Municipio I (ex Mun I),Case Vacanza non IMPR,1,1,,,,"",3
4586,LA SCOGLIERA,3,"LUNGOMARE DUCA DEGLI ABRUZZI, 28",Municipio X (ex Mun XIII),Case Vacanza non IMPR,1,1,,,,"",3
4587,LA STAMBERGA STRILLANTE,4,"VIA POZZOBONELLI, 10",Municipio VII (ex Mun X),Case Vacanza non IMPR,,2,,,,"",4
4588,LA SUITE DEGLI ANGELI,3,"VIA COLA DI RIENZO, 265",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,2,1,,,"",7
4589,LA SUITE DI SAN PIETRO,3,"SALITA DI MONTE DEL GALLO, 25",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,2,,,,"",4
4590,LA TANA DEI PAPI,4,"VIA TERENZIO, 10",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4591,LA TERRAZZA DI GERMANA,4,"VIALE PLATONE, 25",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4592,LA TERRAZZA DI SERENA,3,"VIA GENTILE DA MOGLIANO, 158",Municipio V (ex Mun VI),Case Vacanza non IMPR,1,1,,,,"",3
4593,LA TERRAZZA FIORITA ROME CITY CENTER,3,"VIA ENNIO QUIRINO VISCONTI, 11",Municipio I (ex Mun XVII),Case Vacanza non IMPR,1,1,,,,"",3
4594,LA TERRAZZA SU NICOLO' V,3,"VIA NICOLO' V, 10",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,2,,,,"",4
4595,LA TERRAZZA SU ROMA,3,"VIALE DELLE MEDAGLIE D'ORO, 160",Municipio XIV (ex Mun XIX),Case Vacanza non IMPR,2,2,,,,"",6
4596,LA TERRAZZA SUL COLOSSEO,3,"VIA DEL COLOSSEO, 13",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4597,LA TERRAZZA SUL VATICANO,3,"VIALE VATICANO, 67",Municipio I (ex Mun XVII),Case Vacanza non IMPR,3,1,,,,"",5
